name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
SAC-C (Satellite for Scientific Applications),Multinational,"""National Commission of Space Activities (CONAE) (with NASA, Denmark, Italy, Spain, France, Brazil)""",Civil,Earth Observation Research,LEO,Sun-Synchronous,2000-11-21,4,"""Remotely-sense vegetation, wetlands, and ecosystem in four wavelength bands""",0,687,706,0.00134,98.2,98.71
"""COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)""",Taiwan/USA,National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) ,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,2006-04-15,2,̱. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.̨,0,800,800,0,72,100.87
"""COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)""",Taiwan/USA,National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) ,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,2006-04-15,2,̱. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.̨,0,800,800,0,72,100.87
"""COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)""",Taiwan/USA,National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) ,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,2006-04-15,2,̱. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.̨,0,800,800,0,72,100.87
"""COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)""",Taiwan/USA,National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) ,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,2006-04-15,2,̱. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.̨,0,800,800,0,72,100.87
"""COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)""",Taiwan/USA,National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) ,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,2006-04-15,2,̱. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.̨,0,800,800,0,72,100.87
"""Intelsat 7 (IS-7, PAS-7) """,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,1998-09-16,15,"""Voice and video communications; 14 C-band, 30 Ku-band; Asia, Africa, Middle East, Europe.""",68.7,"""35,775""","""35,797""",0.000261,0,1436.09
"""Intelsat 8 (IS-8, PAS-8) """,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,1998-11-04,15,Television broadcast; 24 Ku-band; Asia-Pacific.,166.01,"""35,774""","""35,798""",0.000285,0.01,1436.08
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,1999-01-21,14,"""Voice and video communications; 24 C-band, 40 Ku-band; North America, Brazil. Solar panels very degraded - will serve for DTH applications.""",-55.5,"""35,785""","""35,795""",0.000119,0.05,1436.11
"""Intelsat 9 (IS-9, PAS-9) """,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2000-07-28,15,"""160 voice, video, data, and Internet channels; 24 C-band, 24 Ku-band; Americas, Caribbean, Europe.""",-58,"""35,782""","""35,792""",0.000119,0.01,1436.14
"""Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)""",USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2000-11-15,15,"""36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14.""",-44.96,"""35,785""","""35,788""",0.0000356,0.06,1436.11
Intelsat 10 (PAS-10),USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2001-05-14,15,"""Direct-to-home video channels; 24 C-band, 24 Ku-band; Asia, Africa, Middle East, Europe.""",68.52,"""35,776""","""35,796""",0.000237,0.04,1436.08
Galaxy-3C,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2002-06-15,15,"""Direct-to-home broadcast of video and Internet; 24 C-band, 16 Ku-band; North America""",-95.02,"""35,784""","""35,788""",0.0000474,0.01,1436.11
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2003-04-09,15,"""Voice, video and data transmissions; 24 C-band; North and South America.""",-122.9,"""35,775""","""35,796""",0.000249,0.05,1436.07
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2005-08-13,15,"""24 C-band transponders; North America, Caribbean.""",-124.96,"""35,776""","""35,795""",0.000225,0.01,1436.07
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2005-10-13,15,"""North America, Alaska, Hawaii, Caribbean; 24 C-band transponders, 2 L-band transponders for transmission of navigational data; anomaly in 4/10 left Intelsat out of communication with the satellite.""",-132.97,"""35,776""","""35,795""",,0.06,1436.07
Galaxy-16 ,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2006-06-18,15,"""24 C-band, 24 Ku-band; CONUS coverage.""",-99.02,"""35,775""","""35,798""",0.000273,0.01,1436.1
Intelsat 11 (PAS 11),USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2007-10-05,15,"""25 C-band, 18 Ku-band transponders, services to Latin America.""",-43.06,"""35,778""","""35,795""",0.000202,0.03,1436.1
"""Galaxy-13 (Horizons 1, Galaxy 13L)""",USA/Japan,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,,2003-10-01,15,Horizons 1 is Ku-band payload; C-band is on Galaxy 13.,-126.97,"""35,781""","""35,790""",0.000107,0.01,1436.07
Echostar 1 ,Mexico,"""QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)""",Commercial,Communications,GEO,,1995-12-28,12,Operating as Mexican satellite until replaced by Quetzsat; Echostar will have capacity on that satellite.,77.15,"""35,776""","""35,795""",0.000225,0.01,1436.07
Sirius FM-5,USA,"""Sirius XM Radio, Inc.""",Commercial,Communications,GEO,,2009-06-30,15,First in geostationary orbit.,-96,"""35,774""","""35,798""",0.000285,0,1436
Sirius XM-5,USA,"""Sirius XM Radio, Inc.""",Commercial,Communications,GEO,,2010-10-14,15,Direct radio broadcasting.,-85.2,"""35,779""","""35,795""",0.00019,0.03,1436.12
"""Saudisat 1C (Oscar 50, SO 50)""",Saudi Arabia,"""Space Research Institute, King Abdulaziz City for Science and Technology""",Government,Research,LEO,Intermediate,2002-12-20,,"""Microsatellite; carries several experiments, available to amateurs as power permits.""",0,633,689,0.00398,64.5,97.96
"""HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)""",USA,"""Space Sciences Laboratory, UC Berkeley/NASA""",Government/Civil,Astrophysics,LEO,Intermediate,2002-02-05,3,Explore basic physics of particle acceleration and explosive energy release in solar flares.,0,588,609,0.00151,38,96.65
Delfi-C3 (DO-64),Netherlands,"""Technical University, Delft""",Civil,Technology Development,LEO,Sun-Synchronous,2008-04-28,,Flight test thin film solar cells and an advanced transceiver.,0,612,637,0.00179,98,97.2
Nimiq 1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,1999-05-20,12,Television broadcast;  32 Ku-band.,-91.24,"""35,778""","""35,794""",0.00019,0.01,1436.09
Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2000-11-21,15,"""36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.""",-107.27,"""35,778""","""35,793""",0.000178,0.02,1436.08
Nimiq 2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2002-12-29,12,"""Television broadcast;  32 Ku-band, 2 Ka-band.""",-91.25,"""35,779""","""35,793""",0.000166,0.01,1436.08
Anik F2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2004-07-18,15,"""24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada""",-111.07,"""35,781""","""35,790""",0.000107,0.01,1436.08
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2005-09-09,15,"""32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.""",-107.3,"""35,777""","""35,795""",0.000213,0.02,1436.1
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2007-04-09,15,"""32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.""",-118.69,"""35,778""","""35,794""",0.00019,0.01,1436.1
Nimiq 4,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2008-09-19,15,"""Television broadcast;  32 Ku-band, 8 Ka-band.""",-81.96,"""35,779""","""35,794""",0.000178,0.01,1436.1
Telstar 11N,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2009-02-26,15,"""39 Ku-band transponders; North America, Europe, Africa, across Atlantic.""",-37.05,"""35,774""","""35,801""",0.00032,0.04,1436.13
Telstar 14R (Estrela do Sul 2),Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,2011-05-20,15,Five communications antennas and 46 Ku-band transponders -- 19 switchable and 27 fixed. Will also serve Brazil. Failed to fully deploy one of its solar panels.,-63,"""35,783""","""35,791""",0.0000949,0.02,1436.1
"""GOES 3 (Geostationary Operational Environmental Satellite, GOES-C)""",USA,"""University of Miami, Rosenstiel School of Marine and Atmospheric Science (RSMAS) (loaned by NOAA)""",Civil,Communications,GEO,,1978-06-16,7,Still supplying communications at South Pole; equipment scheduled to be removed in 2006.,-101.44,"""35,772""","""35,800""",0.000332,14.3,1436.08
ViaSat-1,USA,"""ViaSat, Inc.""",Commercial,Communications,GEO,,2011-10-19,15,"""Provide much faster Internet service to more than 1 million customers outside the reach of cable or DSL services at similar prices to existing satellite broadband; also using capacity to power in-flight Internet service by JetBlue, as well as defense and other uses.""",-115,"""35,775""","""35,796""",0.000249,0.04,1436.09
Afristar ,USA,1Worldspace,Commercial,Communications,GEO,,1998-10-28,15,"""First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.""",20.97,"""35,770""","""35,802""",0.00038,0.03,1436.09
AsiaStar ,USA,1Worldspace,Commercial,Communications,GEO,,2000-03-21,15,"""Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.""",104.97,"""35,773""","""35,801""",0.000332,0.02,1436.15
DSP 18 (USA 130) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,1997-02-23,5,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,0,"""35,780""","""35,800""",0.000237,0.1,1436.27
DSP 20 (USA 149) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,2000-05-18,7,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,-36.25,"""35,897""","""35,909""",0.000142,4.08,142.08
DSP 21 (USA 159) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,2001-08-06,7,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,69.48,"""35,765""","""35,810""",0.000534,3.68,1436.14
DSP 22 (USA 176) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,,2004-02-14,7,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,103.84,"""35,741""","""35,832""",0.00108,1.41,1436.12
Yahsat-1A (Y1A),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,GEO,,2011-04-22,15,"""First of two identical satellites; Ku, Ka, and C-band transponders. Direct-to-home television programming, secure Ka-band communications for military and government in UAE.""",52.5,"""35,743""","""35,823""",0.000949,0.04,1435.92
Amsat-Oscar 7 (AO-7),USA,Amsat-NA,Civil,Amateur Radio,LEO,Sun-Synchronous,1974-11-15,,American amateur radio satellite.,0,"""1,440""","""1,460""",0.00128,101.7,114.9
Anusat (Anna University Satellite),India,Anna University,Civil/Government,Communications,LEO,,2009-04-20,2,First satellite built by Indian university under direction of IRSO. Will demonstrate to students store and forward communications.,0,404,552,0.0108,41.21,94.15
AprizeSat 3,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,2009-07-29,,Will provide tracking and data monitoring services for companies with remote or mobile assets.,0,564,679,0.00822,98.13,97.54
AprizeSat 4,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,2009-07-29,,Will provide tracking and data monitoring services for companies with remote or mobile assets.,0,605,677,0.00513,98.13,97.54
AprizeSat 5,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,2011-08-17,,Continuation of constellation.,0,609,698,0.00634,98.2,97.8
AprizeSat 6,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,2011-08-17,,Continuation of constellation.,0,627,697,0.00498,98.2,97.9
LatinSat A ,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,2002-12-20,,"""Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.""",0,638,644,0.000428,64.5,97.55
LatinSat B ,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,2002-12-20,,"""Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.""",0,631,701,0.00497,64.5,98.07
AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,2004-06-29,,Messaging services.,0,687,753,0.00465,98.3,99.5
AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,2004-06-29,,Messaging services.,0,673,699,0.00184,98.3,
Apstar 1,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,1994-07-21,,In highly inclined orbit.,141.94,"""35,782""","""35,795""",0.000154,6.5,1436.21
Apstar 1A,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,1996-07-03,,In highly inclined orbit.,51.47,"""35,779""","""35,790""",0.00013,5.89,1436.03
Apstar 6,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,2005-04-12,,,134.04,"""35,778""","""35,794""",0.00019,0.01,1436.08
Apstar 7,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,2012-03-31,15,Replacement for Apstar 2R.,76.5,"""35,864""","""35,874""",0.000118,0.03,1440.31
Arabsat 2B (Arabsat IIB),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,1996-11-13,14,Second generation; radio and tv communications to Middle East.,30.51,"""35,774""","""35,798""",0.000285,0.05,1436.09
Badr 4 (Arabsat 4B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,2006-11-08,15,28 Ku-band transponders; voice and video communications to West Asia region.,26.02,"""35,780""","""35,791""",0.00013,0.07,1436.06
Badr 6 (Arabsat 4AR),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,2008-07-07,15,"""24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.""",26.08,"""35,768""","""35,805""",0.000439,0.05,1436.1
Badr 5 (Arabsat 5B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,2010-06-03,15,"""Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders.""",26,"""35,834""","""35,883""",0.00058,0.06,1439.76
Badr 5A (Arabsat 5A),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,2010-06-26,15,"""26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East.""",30.5,"""35,605""","""35,623""",0.000214,0.03,1427.27
Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,2011-09-21,15,"""26 active C-band transponders, 12 active Ka-band transponders""",19.99,"""35,766""","""35,805""",0.000463,0.06,1436.06
COMSATBw-1 (COmmunications SATellite f̪r BundesWehr),Germany,Armed Forces,Military,Communications,GEO,,2009-10-01,15,Germany's first military communications satellite.,63,"""35,773""","""35,799""",0.000308,0.05,1436.1
COMSATBw-2 (COmmunications SATellite f̪r BundesWehr),Germany,Armed Forces,Military,Communications,GEO,,2010-05-21,15,"""SHF (Super-High-Frequency), and UHF transponders (Ultra-High-Frequency).""",13.2,"""35,780""","""35,794""",0.000166,0.08,1436.11
"""ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,,1996-01-14,10,Korean peninsula; 15 Ku-band transponders.,116.54,"""35,785""","""35,789""",0.0000474,1.86,1436.13
"""Agila 2/ABS-5 (Agila 2, Mabuhay 1)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,,1997-08-19,15,"""Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.""",146.06,"""35,769""","""35,802""",0.000391,0.05,1436.07
"""ABS-7 (Koreasat 3, Mugungwha 3)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,,1999-09-04,15,"""30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.""",116.18,"""35,780""","""35,791""",0.00013,0.01,1436.06
"""ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,,1999-09-26,15,"""28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.""",75.03,"""35,777""","""35,794""",0.000202,0.01,1436.08
Garuda-1 (Aces 1),Indonesia/Philippines/Thailand,Asia Cellular Satellite,Commercial,Communications,GEO,,2000-02-12,12,L-band; mobile telephone communications.,123.03,"""35,774""","""35,801""",0.00032,1.22,1436.16
AsiaSat 3S (Asiasat 3SA),China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,1999-03-21,15,"""28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications""",105.55,"""35,780""","""35,792""",0.000142,0.02,1436.07
AsiaSat 4 ,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2003-04-12,15,"""28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong.""",122.24,"""35,784""","""35,789""",0.0000593,0,1436.1
AsiaSat 5,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2009-08-11,15,"""14 Ku-Band, 26 C-band, serving all of Asia.""",100.5,"""35,778""","""35,795""",0.000202,0,1436.11
AsiaSat 7,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,,2011-11-25,15,"""28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.""",105.5,"""35,782""","""35,793""",0.00013,0.02,1436.17
