name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
"""Intelsat 603 (Intelsat 6 F-3, IS-603)""",USA,"""Intelsat, Ltd./New Skies Satellites N.V. [SES] (shared capacity)""",Commercial,Communications,GEO,,1990-03-14,13,"""Inclined orbit; 64 C-band, 24 Ku-band; Broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Pacific Ocean region.""",19.84,"""35,778""","""35,795""",0.000202,5.99,1436.12
"""Intelsat 15 (IS-15, JCSat 85)""",USA,"""Intelsat, Ltd./Sky Perfect JSAT Corp.""",Commercial,Communications,GEO,,2009-11-30,17,"""Will replace Intelsat 709; 22 Ku-band transponders; Data and video for customers in Russisa, the Middle East and Indian ocean area. Five transponders are directly owned by Sky Perfect JSAT Corp.""",85,"""35,776""","""35,798""",0.000261,0.05,1436.12
Intelsat 707 (Intelsat 7 F-7),USA,"""Intelsat, Ltd./Telenor (leased capacity)""",Commercial,Communications,GEO,,1996-03-14,15,"""42 C-band, 36 Ku-band; broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSATnetworks; Atlantic Ocean region. """,-53,"""35,775""","""35,797""",0.000261,0.01,1436.09
Pl_iades HR1 ,France/Italy,"""Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden""",Government,Earth Observation,LEO,Sun-Synchronous,2011-12-17,5,Optical component of the ORFEO system developed in cooperation with Italy -- Very high resolution panchromatic and multispectral Earth observation satellite.,0,598,611,0.000932,97.99,96.98
SORCE (SOlar Radiation and Climate Experiment),USA,"""NASA Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado""",Government/Civil,Astrophysics,LEO,Intermediate,2003-01-25,6,Monitor Sun; improve accuracy of measurement of solar energy.,0,610,649,0.00279,39.9,97.3
AcrimSat (Active Cavity Radiometer Irradiance Monitor),USA,"""NASA Goddard Space Flight Center, Jet Propulsion Laboratory""",Government,Solar Physics,LEO,Sun-Synchronous,1999-12-21,5,Monitor total solar irradiance (TSI) with maximum precision; ascertain the extent of solar radiation variability.,0,682,727,0.00318,98.2,98.86
TIMED (Thermosphere Â´ Ionosphere Â´ Mesosphere Â´ Energetics and Dynamics),USA,"""NASA/Applied Physics Laboratory, Johns Hopkins""",Government/Civil,Astrophysics,LEO,Intermediate,2001-12-07,2,Study influences of the sun and humans on the least explored and understood region of Earth's atmosphere _ the Mesosphere and Lower Thermosphere/Ionosphere (MLTI).,0,626,627,0.0000715,74,97.24
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,Multinational,"NASA/University of California, Berkeley",Government/Civil,Space Physics,Elliptical,,2007-02-17,2,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,0,461,"""87,304""",0.864,15.7,1868.98
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,Multinational,"NASA/University of California, Berkeley",Government/Civil,Space Physics,Elliptical,,2007-02-17,2,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,0,467,"""87,260""",0.864,15.7,1867.91
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,Multinational,"NASA/University of California, Berkeley",Government/Civil,Space Physics,Elliptical,,2007-02-17,2,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,0,474,"""87,526""",0.864,15.7,1875.53
